Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,temp_differential
634,2.611259749,10.45351674,2.771041203,75.86364036,79.24583418,3.3821938199999977
856,4.043840291,5.829365965,2.460446462,73.86013251,71.04707802,-2.813054489999999
814,4.073485693,5.257120244,1.866570541,81.84006988,76.71559076,-5.124479120000004
379,2.724638884,4.712955443,1.981593448,77.09225987,76.10672686,-0.9855330100000117
868,2.672808765,5.273916775,1.905387341,78.47547761,72.08836147,-6.387116140000003
486,2.751187001,4.981188754,1.947335262,77.91508409,82.36621303,4.451128940000004
584,2.017893075,7.132055281,2.591517898,75.53013166,76.8925718,1.362440140000004
642,3.958400328,6.737428768,1.969272644,77.92503429,66.41588797,-11.50914632
1041,4.521052604,6.210473426,3.187333879,79.19700639,71.81744631,-7.3795600800000045
1427,2.843244761,4.407384451,2.191825573,75.03197709,78.14429599,3.1123189000000053
1123,3.211093877,5.40943122,1.711328108,78.54973934,91.42604838,12.876309039999995
965,5.528485957,15.00123557,1.980969519,77.00374174,81.29883437,4.295092629999999
486,3.987220084,10.19559295,2.414339729,77.26209268,80.29999136,3.037898680000012
579,1.883618933,7.22959854,2.422351255,75.58556621,66.9128577,-8.672708509999993
690,4.396677369,4.546554123,4.797659564,77.07085601,86.78160417,9.710748159999994
707,2.823437507,10.33013856,2.366585647,78.43872665,68.77958416,-9.659142490000008
499,4.237938307,5.197519743,1.561666834,76.66008741,83.86141909,7.201331679999996
700,2.94662186,5.100845024,2.015737231,77.14040404,74.75914709,-2.381256950000008
789,3.967423715,8.735060056,1.681297596,77.01658007,79.79516726,2.778587189999996
1018,4.238126126,8.273003412,1.617141639,77.0530069,78.43489263,1.3818857299999934
414,2.959877902,9.779070967,2.704703963,75.19361841,70.86677503,-4.32684338
954,2.016858985,3.514316736,2.123193301,78.44475953,74.0494942,-4.395265330000001
1200,2.584646576,7.104493936,1.439067787,78.97189914,76.23912255,-2.7327765900000003
723,2.847779317,18.21288003,3.116209474,77.29804201,88.59806897,11.300026959999997
937,3.541315762,10.70434079,2.888996626,76.60005646,72.10208302,-4.49797344000001
474,3.812962184,13.47269348,1.666001839,77.83846454,74.42418421,-3.414280329999997
1484,4.695227175,7.098034442,1.336569881,74.22320085,68.95702446,-5.266176389999998
1119,3.223373231,7.793732805,1.689748693,77.65399282,82.16627371,4.5122808899999995
692,2.198146995,6.763849342,2.909701968,73.58292931,71.04177344,-2.541155869999997
1011,5.085095349,5.451617608,1.36220044,83.72262412,74.44486388,-9.277760240000006
697,4.586139942,5.980066207,1.411176363,76.48292603,79.62608806,3.143162029999999
563,4.613939913,6.511851266,1.640371112,73.73050934,74.40018286,0.6696735200000035
882,3.981533952,4.610831822,4.091421996,78.32478938,80.38853883,2.063749450000003
919,2.524388264,5.262507852,1.56085439,75.07239979,77.91451266,2.842112869999994
508,2.649771141,13.77960973,2.124556911,76.95128747,73.15523416,-3.7960533099999907
576,3.634043154,3.993163192,2.701827676,75.82091193,84.37068183,8.549769900000001
625,3.347637206,8.210480486,2.389763098,77.43172099,74.82608502,-2.6056359700000087
1320,2.460605593,6.232506999,1.655347246,76.17253213,80.88891188,4.7163797500000015
1065,2.980682001,7.989946826,2.358523037,75.66719756,74.25740301,-1.4097945500000009
383,2.450984124,4.521320305,1.675139226,75.25322027,86.45762357,11.204403299999996
936,3.520734668,6.521203815,1.128546871,89.24117542,81.05778919,-8.18338623000001
620,2.364692782,6.08884843,6.287515888,77.44203634,86.72084108,9.278804739999998
825,2.922278349,13.23024996,3.007004863,76.94792473,82.77450891,5.826584179999998
1022,2.661487956,5.247991944,2.751079835,77.45959518,81.89869145,4.439096270000007
926,4.023769238,8.906980285,1.753711485,78.0350559,81.44759226,3.41253635999999
758,3.635972587,8.612593784,4.991061475,74.05083088,71.84318481,-2.20764607000001
972,3.124232356,6.55484719,1.894651507,80.57275947,76.7366545,-3.836104969999994
857,2.627536856,8.841238073,1.130811088,80.19814912,68.38612052,-11.81202859999999
487,2.730183276,6.292672943,2.798752427,73.76179881,83.35536469,9.59356588
1115,2.463577441,6.764073064,2.657332067,76.22941591,92.48542486,16.256008949999995
515,3.706904793,6.084795772,4.738293787,75.75121219,90.41211714,14.660904950000003
597,3.493870602,4.278637675,2.152846323,84.69115623,76.26166113,-8.429495100000011
625,3.517157573,9.034119024,1.701085868,75.06471705,80.70102248,5.636305430000007
749,3.379444696,4.377735519,3.01599996,77.04793318,88.56364643,11.515713250000005
854,3.046016219,6.861040033,1.252787142,73.3924751,87.65516827,14.262693170000006
943,2.042534312,3.918224186,2.121771168,76.98620316,74.21079351,-2.7754096500000003
610,3.705537579,4.3482593,3.500529827,76.0666096,79.74963558,3.6830259799999965
749,2.501936298,6.059382117,2.913547518,81.35115288,85.47677947,4.125626589999996
